Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
CHD_49,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.7932418,0.0028195147986843417,5
CHD_49,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.45873220000000003,0.003058955736848773,5
CHD_49,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.7284088,0.007413790744281876,5
CHD_49,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.7884021999999999,0.0019033075684187079,5
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.5879744,0.0008818422761469561,5
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.4403284,0.002056169205099619,5
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.5046074,0.0015030867573097922,5
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.5592798,0.0007595983807249416,5
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.2487536,0.007149554517590597,5
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.6054786,0.0007846657250064927,5
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.0623316,0.013224146467730914,5
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.4351746,0.0011034925464179736,5
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.994102,0.0010831465736455249,5
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,0.0,5
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.640995,0.0028414859668842033,5
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.7088882,0.0026527298580895945,5
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.5821174,0.007783924543570622,5
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.521869,0.017188134671918313,5
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.7140764,0.0040763394485739375,5
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.666171,0.002718619318698381,5
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.7588528,0.0027448165148148025,5
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.669301,0.005433805986599038,5
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.670324,0.0030451402266562402,5
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.1848768,0.009990421847950171,5
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.6672916,0.003035376467590145,5
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.656455,0.004166006841088986,5
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.5591044000000001,0.007527634143607078,5
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.5725046,0.022900010443229077,5
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.7301222,0.002808746909210567,5
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.6895206,0.0029382660362873717,5
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.8840413999999999,0.0031721217347384562,5
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.5762050000000001,0.003274147598994275,5
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.8764673999999999,0.00404300269601685,5
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.0875528,0.00717647049042912,5
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.6506082,0.004325094530758818,5
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.6033622000000001,0.003240767609687527,5
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.5342586,0.008555290778226048,5
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.571612,0.016941263810589788,5
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.738443,0.0027192205684717376,5
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.6744432,0.0029328134444591082,5
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.9470024,0.004076380907128266,5
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Precision Score,0.5298824,0.0032367065514191887,5
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Recall Score,0.9469806000000001,0.005315893603148966,5
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.0270448,0.002547741097521489,5
CHD_49,BR_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.648102,0.0007736950303575963,5
CHD_49,BR_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.5828118,0.0010159088049623121,5
CHD_49,BR_AdaBoostClassifier,Predict NPV,Informedness,0.525145,0.009648193613314338,5
CHD_49,BR_AdaBoostClassifier,Predict NPV,Macro F1,0.5629606,0.009234060932222614,5
CHD_49,BR_AdaBoostClassifier,Predict NPV,Markedness,0.732991,0.0018054982691766673,5
CHD_49,BR_AdaBoostClassifier,Predict NPV,Micro F1,0.6694428,0.0008651761092401958,5
CHD_49,BR_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.9582594,0.0029953706448451133,5
CHD_49,BR_AdaBoostClassifier,Predict NPV,Precision Score,0.5077216,0.0006239950320314911,5
CHD_49,BR_AdaBoostClassifier,Predict NPV,Recall Score,0.9770736,0.0010665304965166375,5
CHD_49,BR_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,0.0,5
CHD_49,BR_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.4017722,0.004750573670621264,5
CHD_49,BR_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.6460782,0.0024353465256509465,5
CHD_49,BR_AdaBoostClassifier,Predict Precision,Informedness,0.5453886,0.009523650130070898,5
CHD_49,BR_AdaBoostClassifier,Predict Precision,Macro F1,0.2948626,0.016250996178696228,5
CHD_49,BR_AdaBoostClassifier,Predict Precision,Markedness,0.6790102,0.004426082206647305,5
CHD_49,BR_AdaBoostClassifier,Predict Precision,Micro F1,0.4067374,0.004160356991893839,5
CHD_49,BR_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.629611,0.0014407740974906073,5
CHD_49,BR_AdaBoostClassifier,Predict Precision,Precision Score,0.7284088,0.007413790744281876,5
CHD_49,BR_AdaBoostClassifier,Predict Precision,Recall Score,0.2879352,0.004406260512044208,5
CHD_49,BR_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.028109600000000002,0.005226255428124423,5
CHD_49,BR_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.5834887999999999,9.29203960387268e-05,5
CHD_49,BR_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.4300578,8.873668914267049e-05,5
CHD_49,BR_AdaBoostClassifier,Predict Recall,Informedness,0.5,0.0,5
CHD_49,BR_AdaBoostClassifier,Predict Recall,Macro F1,0.5584956,0.0004723259467782903,5
CHD_49,BR_AdaBoostClassifier,Predict Recall,Markedness,0.215029,4.496109429273174e-05,5
CHD_49,BR_AdaBoostClassifier,Predict Recall,Micro F1,0.6011674,0.00011686659060652324,5
CHD_49,BR_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.0,0.0,5
CHD_49,BR_AdaBoostClassifier,Predict Recall,Precision Score,0.4300578,8.873668914267049e-05,5
CHD_49,BR_AdaBoostClassifier,Predict Recall,Recall Score,0.9945782,3.225213171246696e-05,5
CHD_49,BR_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.0,0.0,5
