Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
yeast,BR_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,0.0,5
yeast,BR_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.2833962,0.0020919316910453685,5
yeast,BR_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.7311462,0.0007338121012902401,5
yeast,BR_AdaBoostClassifier,Predict Precision,Informedness,0.5273030000000001,0.0018788294228056167,5
yeast,BR_AdaBoostClassifier,Predict Precision,Macro F1,0.1613502,0.002845069454336751,5
yeast,BR_AdaBoostClassifier,Predict Precision,Markedness,0.7336306,0.0027675635132730085,5
yeast,BR_AdaBoostClassifier,Predict Precision,Micro F1,0.2813038,0.0019501996564454563,5
yeast,BR_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.730732,0.0003951031510883885,5
yeast,BR_AdaBoostClassifier,Predict Precision,Precision Score,0.7365286,0.005139550009485275,5
yeast,BR_AdaBoostClassifier,Predict Precision,Recall Score,0.1811032,0.0014498038488016069,5
yeast,BR_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.0057092,0.000740728155263454,5
yeast,BR_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.4534026,5.770615218484809e-06,5
yeast,BR_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.302644,3.5355339059264604e-06,5
yeast,BR_AdaBoostClassifier,Predict Recall,Informedness,0.5,0.0,5
yeast,BR_AdaBoostClassifier,Predict Recall,Macro F1,0.42453620000000003,5.727739519218102e-05,5
yeast,BR_AdaBoostClassifier,Predict Recall,Markedness,0.1513218,2.280350850196905e-06,5
yeast,BR_AdaBoostClassifier,Predict Recall,Micro F1,0.4646038,4.974133090297654e-05,5
yeast,BR_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.0,0.0,5
yeast,BR_AdaBoostClassifier,Predict Recall,Precision Score,0.302644,3.5355339059264604e-06,5
yeast,BR_AdaBoostClassifier,Predict Recall,Recall Score,1.0,0.0,5
yeast,BR_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.0,0.0,5
yeast,BR_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.5944126,0.002546707933784335,5
yeast,BR_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.7821322,0.0015982977507335698,5
yeast,BR_AdaBoostClassifier,Predict Subset,Informedness,0.589079,0.003441279340594153,5
yeast,BR_AdaBoostClassifier,Predict Subset,Macro F1,0.41336300000000004,0.0057815002810689305,5
yeast,BR_AdaBoostClassifier,Predict Subset,Markedness,0.7468106000000001,0.0016504409410821308,5
yeast,BR_AdaBoostClassifier,Predict Subset,Micro F1,0.6193184,0.0027668104922455483,5
yeast,BR_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.8315809999999999,0.0012471515545433816,5
yeast,BR_AdaBoostClassifier,Predict Subset,Precision Score,0.6620408,0.0022835719169756784,5
yeast,BR_AdaBoostClassifier,Predict Subset,Recall Score,0.5904338,0.003951031599468654,5
yeast,BR_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.1155948,0.003918458140646648,5
yeast,BR_LogisticRegression,Marginal Scores,Average Precision,0.7556618,0.0012819191472163258,5
