Dataset,Base Model,Predict Func,Average Precision,Coverage Score,Fmeasure Score,Hamming Accuracy,Informedness,Macro F1,Markedness,Micro F1,Negative Predictive Value,One-Error Score,Precision Score,Ranking Loss Score,Recall Score,Subset Accuracy
yeast,BR_AdaBoostClassifier,Marginal Scores,73.60 ± 0.13,47.83 ± 0.11,,,,,,,,73.65 ± 0.51,,81.33 ± 0.10,,
yeast,BR_AdaBoostClassifier,Predict Fmeasure,,,46.63 ± 0.06,33.94 ± 0.17,50.27 ± 0.21,42.52 ± 0.02,40.50 ± 1.18,47.76 ± 0.07,49.55 ± 2.31,,31.45 ± 0.06,,99.80 ± 0.03,0.00 ± 0.00
yeast,BR_AdaBoostClassifier,Predict Hamming,,,59.44 ± 0.25,78.21 ± 0.16,58.91 ± 0.34,41.34 ± 0.58,74.68 ± 0.17,61.93 ± 0.28,83.16 ± 0.12,,66.20 ± 0.23,,59.04 ± 0.40,11.56 ± 0.39
yeast,BR_AdaBoostClassifier,Predict Informedness,,,53.66 ± 0.12,52.57 ± 0.34,54.58 ± 0.29,44.07 ± 0.20,66.67 ± 0.07,54.20 ± 0.11,93.18 ± 0.12,,40.17 ± 0.20,,92.97 ± 0.33,0.72 ± 0.15
yeast,BR_AdaBoostClassifier,Predict Markedness,,,47.72 ± 0.12,39.62 ± 0.19,50.84 ± 0.30,42.33 ± 0.08,65.46 ± 0.16,49.03 ± 0.11,95.93 ± 0.28,,34.99 ± 0.31,,96.09 ± 0.44,0.20 ± 0.08
yeast,BR_AdaBoostClassifier,Predict NPV,,,47.59 ± 0.02,36.97 ± 0.03,50.27 ± 0.32,42.49 ± 0.06,64.67 ± 0.10,48.80 ± 0.02,96.97 ± 0.18,,32.36 ± 0.01,,99.32 ± 0.05,0.00 ± 0.00
yeast,BR_AdaBoostClassifier,Predict Precision,,,28.34 ± 0.21,73.11 ± 0.07,52.73 ± 0.19,16.14 ± 0.28,73.36 ± 0.28,28.13 ± 0.20,73.07 ± 0.04,,73.65 ± 0.51,,18.11 ± 0.14,0.57 ± 0.07
yeast,BR_AdaBoostClassifier,Predict Recall,,,45.34 ± 0.00,30.26 ± 0.00,50.00 ± 0.00,42.45 ± 0.01,15.13 ± 0.00,46.46 ± 0.00,0.00 ± 0.00,,30.26 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
yeast,BR_AdaBoostClassifier,Predict Subset,,,59.44 ± 0.25,78.21 ± 0.16,58.91 ± 0.34,41.34 ± 0.58,74.68 ± 0.17,61.93 ± 0.28,83.16 ± 0.12,,66.20 ± 0.23,,59.04 ± 0.40,11.56 ± 0.39
yeast,BR_LogisticRegression,Marginal Scores,75.57 ± 0.13,50.03 ± 0.14,,,,,,,,76.38 ± 0.24,,82.45 ± 0.08,,
