Dataset,Base Model,Predict Func,Average Precision,Coverage Score,Fmeasure Score,Hamming Accuracy,Informedness,Macro F1,Markedness,Micro F1,Negative Predictive Value,One-Error Score,Precision Score,Ranking Loss Score,Recall Score,Subset Accuracy
flags,BR_AdaBoostClassifier,Marginal Scores,80.64 ± 0.81,35.19 ± 0.74,,,,,,,,77.36 ± 1.20,,76.91 ± 0.94,,
flags,BR_AdaBoostClassifier,Predict Fmeasure,,,63.80 ± 0.15,49.00 ± 0.25,50.03 ± 0.43,61.48 ± 0.16,27.33 ± 0.67,65.31 ± 0.15,5.93 ± 1.25,,48.74 ± 0.11,,99.66 ± 0.14,0.92 ± 0.24
flags,BR_AdaBoostClassifier,Predict Hamming,,,67.98 ± 1.16,73.29 ± 0.51,64.52 ± 0.63,61.45 ± 1.09,71.24 ± 0.60,71.85 ± 0.68,71.85 ± 0.45,,70.62 ± 1.16,,68.00 ± 1.39,15.92 ± 1.22
flags,BR_AdaBoostClassifier,Predict Informedness,,,64.32 ± 0.33,66.04 ± 0.35,55.40 ± 0.55,52.13 ± 0.62,68.70 ± 0.19,65.22 ± 0.41,69.33 ± 0.52,,68.08 ± 0.55,,69.27 ± 0.75,7.46 ± 1.20
flags,BR_AdaBoostClassifier,Predict Markedness,,,54.62 ± 0.82,59.40 ± 0.90,51.67 ± 1.18,49.11 ± 0.71,67.72 ± 0.74,58.56 ± 0.97,69.24 ± 0.49,,66.20 ± 1.44,,62.80 ± 0.88,1.56 ± 0.36
flags,BR_AdaBoostClassifier,Predict NPV,,,67.02 ± 0.13,57.94 ± 0.19,52.11 ± 0.35,61.67 ± 0.07,68.49 ± 0.34,68.55 ± 0.17,83.26 ± 0.56,,53.72 ± 0.13,,95.69 ± 0.12,2.97 ± 0.42
flags,BR_AdaBoostClassifier,Predict Precision,,,36.62 ± 0.83,59.38 ± 0.30,53.10 ± 0.48,22.62 ± 0.93,66.88 ± 0.68,35.32 ± 0.51,56.39 ± 0.16,,77.36 ± 1.20,,24.63 ± 0.63,0.00 ± 0.00
flags,BR_AdaBoostClassifier,Predict Recall,,,63.63 ± 0.04,48.43 ± 0.04,50.00 ± 0.00,61.54 ± 0.18,24.73 ± 0.02,65.17 ± 0.11,1.02 ± 0.02,,48.43 ± 0.04,,100.00 ± 0.00,1.02 ± 0.02
flags,BR_AdaBoostClassifier,Predict Subset,,,67.98 ± 1.16,73.29 ± 0.51,64.52 ± 0.63,61.45 ± 1.09,71.24 ± 0.60,71.85 ± 0.68,71.85 ± 0.45,,70.62 ± 1.16,,68.00 ± 1.39,15.92 ± 1.22
flags,BR_LogisticRegression,Marginal Scores,80.16 ± 0.20,36.70 ± 0.48,,,,,,,,74.96 ± 0.80,,77.52 ± 0.46,,
flags,BR_LogisticRegression,Predict Fmeasure,,,71.75 ± 0.59,71.47 ± 0.60,61.35 ± 0.62,66.48 ± 1.06,71.82 ± 0.60,74.08 ± 0.53,79.03 ± 0.69,,64.62 ± 0.68,,83.04 ± 0.51,9.37 ± 1.21
flags,BR_LogisticRegression,Predict Hamming,,,67.73 ± 0.81,73.38 ± 0.40,63.84 ± 0.92,64.48 ± 1.07,70.66 ± 0.75,72.38 ± 0.65,72.15 ± 0.89,,69.18 ± 0.88,,68.53 ± 0.95,14.95 ± 1.20
flags,BR_LogisticRegression,Predict Informedness,,,70.09 ± 0.53,72.05 ± 0.45,59.79 ± 0.73,59.93 ± 1.06,70.19 ± 0.48,71.84 ± 0.54,71.61 ± 0.41,,68.77 ± 0.65,,73.56 ± 0.46,13.09 ± 1.33
flags,BR_LogisticRegression,Predict Markedness,,,66.44 ± 0.82,71.95 ± 0.52,63.47 ± 0.86,65.10 ± 0.83,73.58 ± 0.67,72.14 ± 0.57,78.84 ± 0.38,,68.33 ± 1.29,,71.22 ± 0.88,10.71 ± 1.13
flags,BR_LogisticRegression,Predict NPV,,,68.71 ± 0.14,60.32 ± 0.23,54.63 ± 0.65,64.45 ± 0.49,73.35 ± 0.50,70.33 ± 0.17,91.59 ± 0.88,,55.11 ± 0.12,,97.96 ± 0.20,4.00 ± 0.42
flags,BR_LogisticRegression,Predict Precision,,,35.14 ± 0.46,58.70 ± 0.25,50.85 ± 0.73,20.69 ± 0.92,65.47 ± 0.48,34.25 ± 0.34,55.99 ± 0.16,,74.96 ± 0.80,,23.57 ± 0.34,0.00 ± 0.00
flags,BR_LogisticRegression,Predict Recall,,,63.63 ± 0.04,48.43 ± 0.04,50.00 ± 0.00,61.54 ± 0.18,24.73 ± 0.02,65.17 ± 0.11,1.02 ± 0.02,,48.43 ± 0.04,,100.00 ± 0.00,1.02 ± 0.02
flags,BR_LogisticRegression,Predict Subset,,,67.73 ± 0.81,73.38 ± 0.40,63.84 ± 0.92,64.48 ± 1.07,70.66 ± 0.75,72.38 ± 0.65,72.15 ± 0.89,,69.18 ± 0.88,,68.53 ± 0.95,14.95 ± 1.20
flags,BR_RandomForestClassifier,Marginal Scores,82.45 ± 0.42,39.05 ± 0.57,,,,,,,,78.57 ± 1.44,,80.81 ± 0.46,,
flags,BR_RandomForestClassifier,Predict Fmeasure,,,74.70 ± 0.58,73.45 ± 0.52,63.37 ± 0.86,67.72 ± 0.67,73.91 ± 0.97,76.16 ± 0.58,80.85 ± 1.59,,66.97 ± 0.43,,87.52 ± 0.85,14.05 ± 0.96
flags,BR_RandomForestClassifier,Predict Hamming,,,72.59 ± 0.60,75.95 ± 0.45,64.94 ± 1.13,63.14 ± 1.78,74.14 ± 0.50,75.14 ± 0.68,74.79 ± 0.65,,73.49 ± 0.68,,73.86 ± 0.81,21.04 ± 2.18
flags,BR_RandomForestClassifier,Predict Informedness,,,73.25 ± 0.39,74.74 ± 0.43,61.76 ± 0.64,59.46 ± 0.91,73.55 ± 0.45,74.45 ± 0.46,75.08 ± 0.44,,72.02 ± 0.49,,77.42 ± 0.34,17.78 ± 0.80
flags,BR_RandomForestClassifier,Predict Markedness,,,67.72 ± 0.56,73.72 ± 0.44,64.90 ± 1.13,63.54 ± 0.86,74.89 ± 0.26,73.12 ± 0.65,77.81 ± 0.65,,71.96 ± 0.81,,71.20 ± 0.76,14.45 ± 1.38
flags,BR_RandomForestClassifier,Predict NPV,,,68.05 ± 0.14,59.40 ± 0.18,53.45 ± 0.30,62.73 ± 0.38,71.48 ± 0.33,69.64 ± 0.20,88.39 ± 0.55,,54.57 ± 0.12,,97.09 ± 0.19,4.31 ± 0.26
flags,BR_RandomForestClassifier,Predict Precision,,,36.75 ± 0.80,59.73 ± 0.42,52.99 ± 0.58,23.37 ± 1.38,67.58 ± 0.85,35.86 ± 0.64,56.59 ± 0.26,,78.57 ± 1.44,,24.60 ± 0.57,0.00 ± 0.00
flags,BR_RandomForestClassifier,Predict Recall,,,63.63 ± 0.04,48.43 ± 0.04,50.00 ± 0.00,61.54 ± 0.18,24.73 ± 0.02,65.17 ± 0.11,1.02 ± 0.02,,48.43 ± 0.04,,100.00 ± 0.00,1.02 ± 0.02
flags,BR_RandomForestClassifier,Predict Subset,,,72.59 ± 0.65,76.02 ± 0.50,65.04 ± 1.17,63.16 ± 1.75,74.25 ± 0.61,75.17 ± 0.72,74.87 ± 0.61,,73.64 ± 0.85,,73.76 ± 0.80,20.83 ± 2.18
flags,PCC_AdaBoostClassifier,Marginal Scores,79.92 ± 0.81,34.87 ± 0.51,,,,,,,,76.86 ± 2.67,,75.93 ± 0.91,,
flags,PCC_AdaBoostClassifier,Predict Fmeasure,,,63.80 ± 0.12,48.98 ± 0.17,49.94 ± 0.31,61.44 ± 0.07,27.35 ± 0.48,65.32 ± 0.12,5.97 ± 0.94,,48.72 ± 0.09,,99.69 ± 0.16,1.22 ± 0.28
flags,PCC_AdaBoostClassifier,Predict Hamming,,,66.59 ± 1.02,72.73 ± 0.62,65.36 ± 0.74,64.89 ± 1.05,68.31 ± 0.80,72.35 ± 0.48,69.97 ± 1.10,,66.65 ± 0.87,,69.45 ± 1.46,10.28 ± 1.00
flags,PCC_AdaBoostClassifier,Predict Informedness,,,63.31 ± 0.65,64.68 ± 0.52,53.23 ± 0.70,51.30 ± 0.84,67.87 ± 0.64,64.46 ± 0.73,69.99 ± 1.02,,65.75 ± 0.88,,70.13 ± 1.54,6.40 ± 1.54
flags,PCC_AdaBoostClassifier,Predict Markedness,,,55.43 ± 0.33,57.58 ± 0.32,49.35 ± 0.55,49.79 ± 0.54,66.91 ± 0.44,59.22 ± 0.56,71.65 ± 1.33,,62.18 ± 0.83,,68.02 ± 1.14,0.83 ± 0.46
flags,PCC_AdaBoostClassifier,Predict NPV,,,67.03 ± 0.13,57.87 ± 0.22,51.53 ± 0.62,60.95 ± 0.76,68.35 ± 0.47,68.50 ± 0.17,83.03 ± 0.83,,53.68 ± 0.12,,95.80 ± 0.15,2.05 ± 0.82
flags,PCC_AdaBoostClassifier,Predict Precision,,,36.42 ± 1.30,59.24 ± 0.77,52.56 ± 0.65,22.73 ± 0.65,66.58 ± 1.56,35.11 ± 1.26,56.30 ± 0.46,,76.86 ± 2.67,,24.53 ± 0.84,0.10 ± 0.22
flags,PCC_AdaBoostClassifier,Predict Recall,,,63.63 ± 0.04,48.43 ± 0.04,50.00 ± 0.00,61.54 ± 0.18,24.73 ± 0.02,65.17 ± 0.11,1.02 ± 0.02,,48.43 ± 0.04,,100.00 ± 0.00,1.02 ± 0.02
flags,PCC_AdaBoostClassifier,Predict Subset,,,66.59 ± 1.34,69.41 ± 0.73,61.21 ± 1.04,58.95 ± 0.47,66.67 ± 0.65,68.65 ± 0.91,67.22 ± 0.45,,66.11 ± 1.08,,68.47 ± 1.74,18.18 ± 0.91
flags,PCC_LogisticRegression,Marginal Scores,80.28 ± 0.43,36.82 ± 0.36,,,,,,,,74.86 ± 1.41,,77.81 ± 0.49,,
flags,PCC_LogisticRegression,Predict Fmeasure,,,71.91 ± 0.69,71.29 ± 0.61,61.25 ± 0.58,66.41 ± 1.21,71.58 ± 0.60,74.14 ± 0.63,78.85 ± 0.75,,64.31 ± 0.63,,83.90 ± 0.70,8.95 ± 0.61
flags,PCC_LogisticRegression,Predict Hamming,,,68.22 ± 0.97,73.26 ± 0.53,62.90 ± 0.89,62.84 ± 0.90,70.65 ± 0.84,72.38 ± 0.72,71.89 ± 0.92,,69.41 ± 0.91,,69.03 ± 1.07,15.86 ± 1.70
flags,PCC_LogisticRegression,Predict Informedness,,,70.14 ± 0.67,71.91 ± 0.62,59.42 ± 0.97,58.76 ± 1.33,70.17 ± 0.56,71.73 ± 0.67,71.52 ± 0.49,,68.83 ± 0.85,,73.80 ± 0.74,12.69 ± 0.79
flags,PCC_LogisticRegression,Predict Markedness,,,66.39 ± 0.64,71.87 ± 0.37,63.59 ± 0.75,65.27 ± 1.19,73.54 ± 0.46,72.17 ± 0.65,79.04 ± 0.84,,68.05 ± 0.74,,71.39 ± 1.15,10.79 ± 0.74
flags,PCC_LogisticRegression,Predict NPV,,,68.62 ± 0.17,60.17 ± 0.26,54.47 ± 0.55,64.27 ± 0.42,73.05 ± 0.53,70.21 ± 0.23,91.07 ± 0.92,,55.02 ± 0.15,,97.84 ± 0.22,3.68 ± 0.43
flags,PCC_LogisticRegression,Predict Precision,,,35.04 ± 0.79,58.67 ± 0.44,50.66 ± 0.39,20.13 ± 0.74,65.41 ± 0.84,34.19 ± 0.70,55.97 ± 0.27,,74.86 ± 1.41,,23.50 ± 0.57,0.00 ± 0.00
flags,PCC_LogisticRegression,Predict Recall,,,63.63 ± 0.04,48.43 ± 0.04,50.00 ± 0.00,61.54 ± 0.18,24.73 ± 0.02,65.17 ± 0.11,1.02 ± 0.02,,48.43 ± 0.04,,100.00 ± 0.00,1.02 ± 0.02
flags,PCC_LogisticRegression,Predict Subset,,,68.06 ± 0.84,72.19 ± 0.74,62.41 ± 0.90,62.12 ± 0.68,69.25 ± 0.89,71.19 ± 0.73,70.35 ± 1.00,,68.14 ± 0.90,,68.41 ± 0.85,23.93 ± 1.08
flags,PCC_RandomForestClassifier,Marginal Scores,82.77 ± 0.36,39.29 ± 0.66,,,,,,,,79.49 ± 0.97,,81.03 ± 0.36,,
flags,PCC_RandomForestClassifier,Predict Fmeasure,,,74.73 ± 0.52,73.26 ± 0.62,63.10 ± 0.77,67.50 ± 1.44,73.69 ± 1.24,76.20 ± 0.64,80.80 ± 2.13,,66.58 ± 0.55,,88.26 ± 0.58,13.64 ± 1.41
flags,PCC_RandomForestClassifier,Predict Hamming,,,73.09 ± 0.78,76.52 ± 0.43,65.22 ± 0.98,63.29 ± 0.87,74.62 ± 0.44,75.73 ± 0.77,75.47 ± 0.72,,73.77 ± 0.36,,74.27 ± 1.16,22.95 ± 1.87
flags,PCC_RandomForestClassifier,Predict Informedness,,,73.13 ± 0.54,74.81 ± 0.45,61.41 ± 0.57,59.16 ± 1.24,73.74 ± 0.36,74.44 ± 0.60,75.36 ± 0.47,,72.11 ± 0.44,,77.18 ± 0.81,17.59 ± 0.95
flags,PCC_RandomForestClassifier,Predict Markedness,,,69.17 ± 0.47,74.23 ± 0.78,64.95 ± 1.49,64.26 ± 1.91,75.56 ± 0.90,74.15 ± 0.79,79.59 ± 0.79,,71.53 ± 1.26,,73.81 ± 0.65,15.05 ± 1.14
flags,PCC_RandomForestClassifier,Predict NPV,,,68.11 ± 0.17,59.48 ± 0.22,53.00 ± 0.42,62.61 ± 0.69,71.65 ± 0.47,69.70 ± 0.17,88.67 ± 0.83,,54.62 ± 0.12,,97.15 ± 0.25,3.99 ± 0.25
flags,PCC_RandomForestClassifier,Predict Precision,,,37.23 ± 0.43,59.99 ± 0.30,52.87 ± 0.39,21.99 ± 0.89,68.12 ± 0.58,36.30 ± 0.42,56.74 ± 0.19,,79.49 ± 0.97,,24.94 ± 0.28,0.00 ± 0.00
flags,PCC_RandomForestClassifier,Predict Recall,,,63.63 ± 0.04,48.43 ± 0.04,50.00 ± 0.00,61.54 ± 0.18,24.73 ± 0.02,65.17 ± 0.11,1.02 ± 0.02,,48.43 ± 0.04,,100.00 ± 0.00,1.02 ± 0.02
flags,PCC_RandomForestClassifier,Predict Subset,,,71.25 ± 0.75,75.09 ± 0.66,64.25 ± 0.71,62.17 ± 1.14,72.51 ± 0.73,74.04 ± 0.86,73.35 ± 0.78,,71.67 ± 0.84,,71.80 ± 0.64,25.73 ± 2.12
