Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
scene,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.8645226000000001,0.002134461009248015,5
scene,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.905987,0.0009080523112684439,5
scene,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.771247,0.004642857794505451,5
scene,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.9226696000000001,0.0009029611287314365,5
scene,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.303525,0.0006301091175344227,5
scene,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.1859314,0.0020675706275723672,5
scene,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.504301,0.0013577961923646245,5
scene,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.304473,0.0006654626210389402,5
scene,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.1103994,0.005734301422143765,5
scene,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.305382,0.0005503716925860157,5
scene,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.040385,0.011025277048673197,5
scene,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.1804136,0.00045005977380786896,5
scene,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.9997510000000001,0.0003711872842649673,5
scene,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,0.0,5
scene,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.6735272,0.00519246653335388,5
scene,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.9062433999999999,0.0007786714968457364,5
scene,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.8265361999999999,0.0018577272943034846,5
scene,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.7314579999999999,0.002559535895431053,5
scene,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.8034133999999999,0.0032209639550916996,5
scene,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.7235412,0.0021812855613147345,5
scene,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.9380492,0.000834774041283049,5
scene,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.6687778,0.005875771242994386,5
scene,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.7021288,0.005648505041159064,5
scene,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.5789728000000001,0.004542656898776315,5
scene,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.5149853999999999,0.0054353584794381085,5
scene,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.6548657999999999,0.005984164661838806,5
scene,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.7756448,0.0037191785652210727,5
scene,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.5272905999999999,0.0062650791535303445,5
scene,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.6761438,0.0028763739673414953,5
scene,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.5016174,0.004333999573142555,5
scene,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.9887385999999999,0.0005644650564915639,5
scene,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.36354980000000003,0.00571265093454865,5
scene,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.9710696000000001,0.0019017114134379318,5
scene,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.026676,0.004117739367662795,5
scene,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.5164856,0.007757810664098512,5
scene,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.5582575999999999,0.008594859876693726,5
scene,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.7162808,0.005002224525148751,5
scene,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.4437736,0.00522679641845749,5
scene,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.7001006000000001,0.0048915564803035825,5
scene,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.43898919999999997,0.0046409616675857175,5
scene,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.9872274000000001,0.001253581389459785,5
scene,BR_AdaBoostClassifier,Predict Markedness,Precision Score,0.4129742,0.009463329419395684,5
scene,BR_AdaBoostClassifier,Predict Markedness,Recall Score,0.9667600000000001,0.0031362460840947664,5
scene,BR_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.2130446,0.01246538053169659,5
scene,BR_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.3488742,0.00036944106431201955,5
scene,BR_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.3435528,0.0003837104377000988,5
scene,BR_AdaBoostClassifier,Predict NPV,Informedness,0.597063,0.0007651506387633765,5
scene,BR_AdaBoostClassifier,Predict NPV,Macro F1,0.3533576,0.0006830587822435238,5
scene,BR_AdaBoostClassifier,Predict NPV,Markedness,0.6036034,0.000689533392954958,5
scene,BR_AdaBoostClassifier,Predict NPV,Micro F1,0.351532,0.0003821773148683665,5
scene,BR_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.99368,0.0011508633715606848,5
scene,BR_AdaBoostClassifier,Predict NPV,Precision Score,0.21352920000000003,0.0002296055312922678,5
scene,BR_AdaBoostClassifier,Predict NPV,Recall Score,0.9943462000000001,0.0010089480660569403,5
scene,BR_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,0.0,5
scene,BR_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.7499317999999999,0.004600336585511971,5
scene,BR_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.9114232,0.0015501252207483095,5
scene,BR_AdaBoostClassifier,Predict Precision,Informedness,0.8424676,0.002772460694040629,5
scene,BR_AdaBoostClassifier,Predict Precision,Macro F1,0.7532327999999999,0.004258752012033577,5
scene,BR_AdaBoostClassifier,Predict Precision,Markedness,0.8553523999999999,0.00278652548884803,5
scene,BR_AdaBoostClassifier,Predict Precision,Micro F1,0.7437918,0.004445299393741638,5
scene,BR_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.9394586,0.0009311220650376974,5
scene,BR_AdaBoostClassifier,Predict Precision,Precision Score,0.771247,0.004642857794505451,5
