Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
Water-quality,PCC_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.702898,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.012262,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Hamming,Precision Score,0.598083,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.750109,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Hamming,Recall Score,0.549112,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Hamming,Markedness,0.674097,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.541799,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Hamming,Informedness,0.629566,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Hamming,Macro F1,0.506422,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Hamming,Micro F1,0.570479,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.701818,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.016037,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Subset,Precision Score,0.596616,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.737282,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Subset,Recall Score,0.484116,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Subset,Markedness,0.666948,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.495876,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Subset,Informedness,0.625258,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Subset,Macro F1,0.481628,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Subset,Micro F1,0.53975,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.66826,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.009433,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Precision,Precision Score,0.714151,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.664732,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Precision,Recall Score,0.157843,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Precision,Markedness,0.689439,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.248237,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Precision,Informedness,0.534546,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Precision,Macro F1,0.163019,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Precision,Micro F1,0.235211,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.420149,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict NPV,Precision Score,0.382873,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.904718,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict NPV,Recall Score,0.978099,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict NPV,Markedness,0.643797,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.530279,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict NPV,Informedness,0.533225,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict NPV,Macro F1,0.537522,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict NPV,Micro F1,0.550753,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.362331,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.0,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Recall,Precision Score,0.362331,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.0,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Recall,Recall Score,0.99434,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Recall,Markedness,0.181166,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.512479,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Recall,Informedness,0.5,1,adaboost
Water-quality,PCC_AdaBoostClassifier,Predict Recall,Macro F1,0.521125,1,adaboost
