Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
emotions,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.7866998,0.006478879239498145,5
emotions,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.6227838,0.009545858955589051,5
emotions,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.7102936,0.007702586305910468,5
emotions,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.8241668000000001,0.008470620148489746,5
emotions,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.4665718,0.0012761603347542104,5
emotions,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.31946759999999996,0.002832660904520702,5
emotions,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.5051408000000001,0.0021018746870353515,5
emotions,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.4710232,0.0020972760190304056,5
emotions,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.181669,0.008164434579320229,5
emotions,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.47734940000000003,0.001293418068530064,5
emotions,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.049271600000000006,0.01527971286706658,5
emotions,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.3140674,0.0010575983642195919,5
emotions,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.9989323999999999,0.0009554743847953093,5
emotions,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,0.0,5
emotions,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.5854522,0.006890548577580734,5
emotions,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.7842627999999999,0.0022940505007518976,5
emotions,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.7301596,0.001986676194048759,5
emotions,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.6203144,0.0037280240476692448,5
emotions,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.7339022,0.00400930177212938,5
emotions,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.6385837999999999,0.0031920283050123825,5
emotions,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.845207,0.0009856726129907286,5
emotions,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.6225988,0.007815019302599277,5
emotions,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.6134368,0.006687346910397276,5
emotions,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.244543,0.01572917412008655,5
emotions,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.6162546,0.008217646153248492,5
emotions,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.6791866,0.005883364539105172,5
emotions,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.7245786,0.006267891455665139,5
emotions,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.6251122,0.007207793261463563,5
emotions,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.712115,0.006269939353773654,5
emotions,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.626605,0.006909450955032558,5
emotions,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.9105186,0.00597340767903884,5
emotions,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.5137126000000001,0.008126252321950182,5
emotions,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.8707394,0.0091816161594787,5
emotions,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.10356480000000001,0.013860935671880162,5
emotions,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.5427922000000001,0.006177588906685186,5
emotions,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.5699192,0.00800917178614616,5
emotions,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.6338998,0.006510150512852963,5
emotions,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.5410914,0.004141506887595407,5
emotions,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.6889172,0.00533865354747802,5
emotions,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.5451584,0.005138473391971594,5
emotions,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.8973286,0.00689652059374871,5
emotions,BR_AdaBoostClassifier,Predict Markedness,Precision Score,0.48050740000000003,0.009235438663106374,5
emotions,BR_AdaBoostClassifier,Predict Markedness,Recall Score,0.8424708000000001,0.00954071009935842,5
emotions,BR_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.0657408,0.006866689136694628,5
emotions,BR_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.51256,0.0023840062919380255,5
emotions,BR_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.457286,0.0027725892230909214,5
emotions,BR_AdaBoostClassifier,Predict NPV,Informedness,0.5920534,0.0030982564128877693,5
emotions,BR_AdaBoostClassifier,Predict NPV,Macro F1,0.5231498,0.003167927587556274,5
emotions,BR_AdaBoostClassifier,Predict NPV,Markedness,0.6494068000000001,0.004996754266521389,5
emotions,BR_AdaBoostClassifier,Predict NPV,Micro F1,0.5256924,0.002448821206213283,5
