Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
Water-quality,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.6884378,0.0032582121938265663,5
Water-quality,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.323034,0.0033135461366940737,5
Water-quality,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.7101898,0.00798822193607565,5
Water-quality,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.741938,0.003399201891620993,5
Water-quality,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.5169094000000001,0.0001542037613030423,5
Water-quality,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.37602440000000004,0.0003210549797153091,5
Water-quality,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.5092945999999999,0.0004169374053739774,5
Water-quality,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.5254626,0.00026791472523922296,5
Water-quality,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.26715999999999995,0.0027699630863966375,5
Water-quality,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.5367792,0.00028723892493882257,5
Water-quality,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.1676234,0.005491120313742912,5
Water-quality,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.3666956,6.085474509024455e-05,5
Water-quality,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.9925782,0.0004490759401259744,5
Water-quality,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,0.0,5
Water-quality,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.5284452,0.005116283582836267,5
Water-quality,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.7052286000000001,0.002850556138721024,5
Water-quality,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.629393,0.004100618672834633,5
Water-quality,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.49842060000000005,0.007211770885157134,5
Water-quality,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.6741562,0.005066240341713019,5
Water-quality,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.5613364,0.004622147152568804,5
Water-quality,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.7428804,0.003054450572525297,5
Water-quality,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.605432,0.007114157820852724,5
Water-quality,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.5211296,0.00610271335554931,5
Water-quality,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.010942,0.0005171416633766806,5
Water-quality,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.5571302,0.002625869608339292,5
Water-quality,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.5799324,0.0013600223527574767,5
Water-quality,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.5904346,0.0024504683837993347,5
Water-quality,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.5429337999999999,0.0027986415811961534,5
Water-quality,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.6463,0.002854050455055066,5
Water-quality,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.5738784,0.002274211577668232,5
Water-quality,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.8178874,0.004082519908095984,5
Water-quality,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.47471199999999997,0.0016544092601288242,5
Water-quality,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.798551,0.00530614836769571,5
Water-quality,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.0007544,0.0010330047434547432,5
Water-quality,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.46802659999999996,0.0033769843499785604,5
Water-quality,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.49327540000000003,0.0020378223180640706,5
Water-quality,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.5333806,0.0022736427379867626,5
Water-quality,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.5000232,0.003495728922556798,5
Water-quality,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.6601678000000001,0.004549023598531876,5
Water-quality,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.5178928,0.0029645454457639994,5
Water-quality,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.8449557999999999,0.009400679853074497,5
Water-quality,BR_AdaBoostClassifier,Predict Markedness,Precision Score,0.4753792,0.004722530857495807,5
Water-quality,BR_AdaBoostClassifier,Predict Markedness,Recall Score,0.7662106,0.010861769851179858,5
Water-quality,BR_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.0018862,0.0013339569708202734,5
Water-quality,BR_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.5305416000000001,0.0005657236958091951,5
Water-quality,BR_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.42047100000000004,0.0006359736629767183,5
Water-quality,BR_AdaBoostClassifier,Predict NPV,Informedness,0.5338132,0.000909739907885813,5
Water-quality,BR_AdaBoostClassifier,Predict NPV,Macro F1,0.5375935999999999,0.0007487725288764647,5
Water-quality,BR_AdaBoostClassifier,Predict NPV,Markedness,0.6450150000000001,0.0023985728048154177,5
Water-quality,BR_AdaBoostClassifier,Predict NPV,Micro F1,0.5508995999999999,0.0005328248305024597,5
Water-quality,BR_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.9069814,0.0044551607490638835,5
Water-quality,BR_AdaBoostClassifier,Predict NPV,Precision Score,0.38304720000000003,0.0003420273380886288,5
Water-quality,BR_AdaBoostClassifier,Predict NPV,Recall Score,0.978861,0.0014215444066226076,5
Water-quality,BR_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,0.0,5
Water-quality,BR_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.24808560000000002,0.0021543333771726274,5
Water-quality,BR_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.6676958,0.0011412290304754725,5
Water-quality,BR_AdaBoostClassifier,Predict Precision,Informedness,0.5350216,0.0013191966494802809,5
Water-quality,BR_AdaBoostClassifier,Predict Precision,Macro F1,0.1659998,0.0029887270199869384,5
Water-quality,BR_AdaBoostClassifier,Predict Precision,Markedness,0.6873076,0.004301775482286357,5
Water-quality,BR_AdaBoostClassifier,Predict Precision,Micro F1,0.2340644,0.0025719083965024935,5
Water-quality,BR_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.6644272,0.0006138173181004171,5
Water-quality,BR_AdaBoostClassifier,Predict Precision,Precision Score,0.7101898,0.00798822193607565,5
Water-quality,BR_AdaBoostClassifier,Predict Precision,Recall Score,0.1584072,0.0012287024456718659,5
Water-quality,BR_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.0103764,0.0017647261260603584,5
Water-quality,BR_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.512478,1.2247448714192533e-06,5
Water-quality,BR_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.36233180000000004,8.366600265324242e-07,5
Water-quality,BR_AdaBoostClassifier,Predict Recall,Informedness,0.5,0.0,5
Water-quality,BR_AdaBoostClassifier,Predict Recall,Macro F1,0.5209018000000001,0.00023554235287948024,5
Water-quality,BR_AdaBoostClassifier,Predict Recall,Markedness,0.181166,7.071067811872547e-07,5
Water-quality,BR_AdaBoostClassifier,Predict Recall,Micro F1,0.5317676,8.972625033958688e-05,5
Water-quality,BR_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.0,0.0,5
Water-quality,BR_AdaBoostClassifier,Predict Recall,Precision Score,0.36233180000000004,8.366600265324242e-07,5
Water-quality,BR_AdaBoostClassifier,Predict Recall,Recall Score,0.9943405999999999,5.477225574989573e-07,5
Water-quality,BR_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.0,0.0,5
Water-quality,BR_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.5284452,0.005116283582836267,5
Water-quality,BR_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.7052286000000001,0.002850556138721024,5
Water-quality,BR_AdaBoostClassifier,Predict Subset,Informedness,0.629393,0.004100618672834633,5
Water-quality,BR_AdaBoostClassifier,Predict Subset,Macro F1,0.49842060000000005,0.007211770885157134,5
Water-quality,BR_AdaBoostClassifier,Predict Subset,Markedness,0.6741562,0.005066240341713019,5
Water-quality,BR_AdaBoostClassifier,Predict Subset,Micro F1,0.5613364,0.004622147152568804,5
Water-quality,BR_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.7428804,0.003054450572525297,5
Water-quality,BR_AdaBoostClassifier,Predict Subset,Precision Score,0.605432,0.007114157820852724,5
Water-quality,BR_AdaBoostClassifier,Predict Subset,Recall Score,0.5211296,0.00610271335554931,5
Water-quality,BR_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.010942,0.0005171416633766806,5
Water-quality,BR_LogisticRegression,Marginal Scores,Average Precision,0.687057,0.0007536023487224551,5
Water-quality,BR_LogisticRegression,Marginal Scores,Coverage Score,0.32426699999999997,0.0018000329163657025,5
Water-quality,BR_LogisticRegression,Marginal Scores,One-Error Score,0.7016983999999999,0.0018151964907413773,5
Water-quality,BR_LogisticRegression,Marginal Scores,Ranking Loss Score,0.7445534,0.0010799040698136263,5
Water-quality,BR_LogisticRegression,Predict Fmeasure,Fmeasure Score,0.5820696,0.0004229696206585499,5
Water-quality,BR_LogisticRegression,Predict Fmeasure,Hamming Accuracy,0.6150814,0.0008024352310311022,5
Water-quality,BR_LogisticRegression,Predict Fmeasure,Informedness,0.6110228,0.0009725472739152826,5
Water-quality,BR_LogisticRegression,Predict Fmeasure,Macro F1,0.5690801999999999,0.0017098127675274932,5
Water-quality,BR_LogisticRegression,Predict Fmeasure,Markedness,0.654237,0.0005587933428379368,5
Water-quality,BR_LogisticRegression,Predict Fmeasure,Micro F1,0.6056584,0.0005590982024653652,5
Water-quality,BR_LogisticRegression,Predict Fmeasure,Negative Predictive Value,0.8255682,0.0007814174300589706,5
Water-quality,BR_LogisticRegression,Predict Fmeasure,Precision Score,0.4829034,0.0006229175707908705,5
Water-quality,BR_LogisticRegression,Predict Fmeasure,Recall Score,0.8196812,0.0007888879514861586,5
Water-quality,BR_LogisticRegression,Predict Fmeasure,Subset Accuracy,0.0015088,0.0005165023717273716,5
Water-quality,BR_LogisticRegression,Predict Hamming,Fmeasure Score,0.47633179999999997,0.0019920146083801816,5
Water-quality,BR_LogisticRegression,Predict Hamming,Hamming Accuracy,0.705646,0.0008864753239656585,5
Water-quality,BR_LogisticRegression,Predict Hamming,Informedness,0.60128,0.0011029236147621403,5
Water-quality,BR_LogisticRegression,Predict Hamming,Macro F1,0.41290639999999995,0.001963249933146562,5
Water-quality,BR_LogisticRegression,Predict Hamming,Markedness,0.6802212,0.0016605627660525061,5
Water-quality,BR_LogisticRegression,Predict Hamming,Micro F1,0.5121076,0.0016180904795467846,5
Water-quality,BR_LogisticRegression,Predict Hamming,Negative Predictive Value,0.7257326,0.0008319728360950065,5
Water-quality,BR_LogisticRegression,Predict Hamming,Precision Score,0.6347092,0.002498750627813831,5
Water-quality,BR_LogisticRegression,Predict Hamming,Recall Score,0.42917740000000004,0.002623938604464657,5
Water-quality,BR_LogisticRegression,Predict Hamming,Subset Accuracy,0.013772800000000002,0.0025497888540034056,5
Water-quality,BR_LogisticRegression,Predict Informedness,Fmeasure Score,0.5754395999999999,0.00119332028391378,5
Water-quality,BR_LogisticRegression,Predict Informedness,Hamming Accuracy,0.6660508,0.0011778016386471883,5
Water-quality,BR_LogisticRegression,Predict Informedness,Informedness,0.6089466,0.0011716634755764978,5
Water-quality,BR_LogisticRegression,Predict Informedness,Macro F1,0.5271038,0.0015777605014703757,5
Water-quality,BR_LogisticRegression,Predict Informedness,Markedness,0.6601928,0.001104628761168239,5
Water-quality,BR_LogisticRegression,Predict Informedness,Micro F1,0.5953926,0.0012668223237691815,5
Water-quality,BR_LogisticRegression,Predict Informedness,Negative Predictive Value,0.7845474,0.0010047603196782669,5
Water-quality,BR_LogisticRegression,Predict Informedness,Precision Score,0.5358394,0.0017411072052002095,5
Water-quality,BR_LogisticRegression,Predict Informedness,Recall Score,0.697328,0.0021089126345109495,5
Water-quality,BR_LogisticRegression,Predict Informedness,Subset Accuracy,0.0026406,0.00042127520696096034,5
Water-quality,BR_LogisticRegression,Predict Markedness,Fmeasure Score,0.3644988,0.004167980950052435,5
Water-quality,BR_LogisticRegression,Predict Markedness,Hamming Accuracy,0.6644606,0.001516927585615059,5
Water-quality,BR_LogisticRegression,Predict Markedness,Informedness,0.5570032,0.0019207609689911882,5
Water-quality,BR_LogisticRegression,Predict Markedness,Macro F1,0.3367032,0.0032408353398468343,5
