Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
CHD_49,PCC_AdaBoostClassifier,Predict Markedness,Macro F1,0.584317,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Markedness,Micro F1,0.675428,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.447797,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.439409,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.107857,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.994015,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Fmeasure,Markedness,0.273634,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.591557,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Fmeasure,Informedness,0.506655,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.560124,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.608767,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.651829,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.081136,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Informedness,Precision Score,0.56435,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.905744,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Informedness,Recall Score,0.907524,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Informedness,Markedness,0.735046,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.671307,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Informedness,Informedness,0.56368,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Informedness,Macro F1,0.622262,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Informedness,Micro F1,0.694511,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Marginal Scores,One-Error Score,0.726201,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Marginal Scores,Coverage Score,0.45483,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.788483,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Marginal Scores,Average Precision,0.790002,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.710601,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.196526,1,adaboost
