Dataset,Base Model,Predict Func,Average Precision,Coverage Score,Fmeasure Score,Hamming Accuracy,Informedness,Macro F1,Markedness,Micro F1,Negative Predictive Value,One-Error Score,Precision Score,Ranking Loss Score,Recall Score,Subset Accuracy
PlantPseAAC,BR_AdaBoostClassifier,Marginal Scores,54.06 ± 1.02,77.44 ± 0.35,,,,,,,,34.26 ± 1.38,,78.72 ± 0.35,,
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,,,18.82 ± 0.27,25.00 ± 1.38,52.99 ± 0.40,15.93 ± 0.07,51.13 ± 1.10,18.79 ± 0.25,91.75 ± 2.04,,10.50 ± 0.17,,96.51 ± 0.21,0.00 ± 0.00
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,,,19.67 ± 0.88,89.55 ± 0.22,55.52 ± 1.28,16.83 ± 2.64,55.93 ± 0.48,26.43 ± 1.03,92.59 ± 0.09,,19.27 ± 0.88,,21.36 ± 0.90,14.72 ± 1.17
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,,,23.35 ± 0.23,47.13 ± 0.43,56.43 ± 0.68,17.43 ± 0.26,55.55 ± 0.15,23.23 ± 0.23,97.52 ± 0.17,,13.57 ± 0.14,,89.33 ± 0.84,0.00 ± 0.00
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,,,19.04 ± 0.29,23.83 ± 0.66,52.66 ± 0.68,15.80 ± 0.14,54.29 ± 0.21,18.47 ± 0.16,97.69 ± 0.19,,10.90 ± 0.26,,95.97 ± 0.16,0.55 ± 0.21
PlantPseAAC,BR_AdaBoostClassifier,Predict NPV,,,17.40 ± 0.05,16.95 ± 0.05,50.83 ± 0.53,15.50 ± 0.09,53.68 ± 0.18,17.49 ± 0.05,97.75 ± 0.32,,9.60 ± 0.03,,97.94 ± 0.35,0.00 ± 0.00
PlantPseAAC,BR_AdaBoostClassifier,Predict Precision,,,33.09 ± 1.31,88.39 ± 0.23,56.59 ± 1.54,19.59 ± 2.85,63.78 ± 0.76,32.96 ± 1.35,93.31 ± 0.13,,34.26 ± 1.38,,32.51 ± 1.28,30.80 ± 1.23
PlantPseAAC,BR_AdaBoostClassifier,Predict Recall,,,16.42 ± 0.00,8.99 ± 0.00,50.00 ± 0.00,15.41 ± 0.01,4.49 ± 0.00,16.50 ± 0.00,0.00 ± 0.00,,8.99 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
PlantPseAAC,BR_AdaBoostClassifier,Predict Subset,,,19.67 ± 0.88,89.55 ± 0.22,55.52 ± 1.28,16.83 ± 2.64,55.93 ± 0.48,26.43 ± 1.03,92.59 ± 0.09,,19.27 ± 0.88,,21.36 ± 0.90,14.72 ± 1.17
PlantPseAAC,BR_LogisticRegression,Marginal Scores,49.01 ± 0.27,70.07 ± 0.29,,,,,,,,31.27 ± 0.53,,71.63 ± 0.27,,
PlantPseAAC,BR_LogisticRegression,Predict Fmeasure,,,26.34 ± 0.58,86.29 ± 0.12,57.57 ± 0.38,20.31 ± 0.73,58.35 ± 0.29,30.65 ± 0.52,93.45 ± 0.06,,23.25 ± 0.52,,34.30 ± 0.75,11.72 ± 0.91
PlantPseAAC,BR_LogisticRegression,Predict Hamming,,,26.58 ± 0.88,87.05 ± 0.15,57.13 ± 0.28,19.82 ± 0.70,58.86 ± 0.41,30.75 ± 0.92,93.35 ± 0.11,,24.38 ± 0.71,,32.60 ± 1.21,14.52 ± 0.72
PlantPseAAC,BR_LogisticRegression,Predict Informedness,,,30.74 ± 0.96,84.21 ± 0.23,58.63 ± 0.42,21.75 ± 0.81,60.21 ± 0.50,31.92 ± 0.86,93.91 ± 0.12,,26.52 ± 0.89,,41.64 ± 1.09,11.72 ± 0.88
PlantPseAAC,BR_LogisticRegression,Predict Markedness,,,26.96 ± 0.94,87.80 ± 0.17,56.59 ± 0.26,19.14 ± 0.75,59.55 ± 0.45,30.70 ± 0.94,93.21 ± 0.10,,25.89 ± 0.80,,30.70 ± 1.13,18.28 ± 1.09
