Dataset,Base Model,Predict Func,Average Precision,Coverage Score,Fmeasure Score,Hamming Accuracy,Informedness,Macro F1,Markedness,Micro F1,Negative Predictive Value,One-Error Score,Precision Score,Ranking Loss Score,Recall Score,Subset Accuracy
PlantPseAAC,BR_LogisticRegression,Predict NPV,,,16.89 ± 0.02,16.43 ± 0.03,52.64 ± 0.30,16.06 ± 0.03,51.98 ± 0.08,16.97 ± 0.03,94.64 ± 0.16,,9.32 ± 0.01,,95.15 ± 0.15,0.00 ± 0.00
PlantPseAAC,BR_LogisticRegression,Predict Precision,,,30.10 ± 0.49,87.89 ± 0.09,55.91 ± 0.71,17.73 ± 1.19,62.15 ± 0.29,30.09 ± 0.54,93.04 ± 0.05,,31.27 ± 0.53,,29.52 ± 0.48,27.79 ± 0.49
PlantPseAAC,BR_LogisticRegression,Predict Recall,,,16.42 ± 0.00,8.99 ± 0.00,50.00 ± 0.00,15.41 ± 0.01,4.49 ± 0.00,16.50 ± 0.00,0.00 ± 0.00,,8.99 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
PlantPseAAC,BR_LogisticRegression,Predict Subset,,,26.58 ± 0.88,87.05 ± 0.15,57.13 ± 0.28,19.82 ± 0.70,58.86 ± 0.41,30.75 ± 0.92,93.35 ± 0.11,,24.38 ± 0.71,,32.60 ± 1.21,14.52 ± 0.72
PlantPseAAC,BR_RandomForestClassifier,Marginal Scores,57.51 ± 0.53,80.20 ± 0.32,,,,,,,,38.30 ± 1.35,,81.37 ± 0.28,,
PlantPseAAC,BR_RandomForestClassifier,Predict Fmeasure,,,18.03 ± 0.14,82.50 ± 0.12,56.22 ± 0.61,18.86 ± 0.69,53.09 ± 0.08,28.41 ± 0.33,94.06 ± 0.07,,12.13 ± 0.10,,39.46 ± 0.48,0.61 ± 0.18
PlantPseAAC,BR_RandomForestClassifier,Predict Hamming,,,4.66 ± 0.09,91.18 ± 0.01,51.45 ± 0.49,4.27 ± 0.91,48.03 ± 0.05,8.08 ± 0.13,91.38 ± 0.01,,4.68 ± 0.09,,4.65 ± 0.10,4.62 ± 0.11
PlantPseAAC,BR_RandomForestClassifier,Predict Informedness,,,36.63 ± 0.49,76.43 ± 0.19,58.98 ± 0.32,22.93 ± 0.76,60.91 ± 0.24,36.10 ± 0.45,96.79 ± 0.11,,25.02 ± 0.36,,74.85 ± 0.85,0.90 ± 0.23
PlantPseAAC,BR_RandomForestClassifier,Predict Markedness,,,28.06 ± 0.45,88.91 ± 0.09,54.73 ± 0.49,15.78 ± 0.74,60.24 ± 0.22,33.15 ± 0.68,93.37 ± 0.08,,27.12 ± 0.37,,31.51 ± 0.82,21.94 ± 0.14
PlantPseAAC,BR_RandomForestClassifier,Predict NPV,,,17.58 ± 0.07,17.12 ± 0.07,52.86 ± 0.54,15.74 ± 0.08,54.25 ± 0.22,17.66 ± 0.07,98.79 ± 0.41,,9.70 ± 0.04,,99.07 ± 0.38,0.00 ± 0.00
PlantPseAAC,BR_RandomForestClassifier,Predict Precision,,,37.20 ± 1.31,89.06 ± 0.23,55.00 ± 0.62,15.94 ± 1.27,65.99 ± 0.74,36.85 ± 1.30,93.68 ± 0.12,,38.30 ± 1.35,,36.65 ± 1.28,35.03 ± 1.23
PlantPseAAC,BR_RandomForestClassifier,Predict Recall,,,16.42 ± 0.00,8.99 ± 0.00,50.00 ± 0.00,15.41 ± 0.01,4.49 ± 0.00,16.50 ± 0.00,0.00 ± 0.00,,8.99 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
PlantPseAAC,BR_RandomForestClassifier,Predict Subset,,,4.48 ± 0.11,91.18 ± 0.02,51.43 ± 0.51,4.19 ± 0.96,47.93 ± 0.07,7.79 ± 0.19,91.37 ± 0.01,,4.50 ± 0.12,,4.47 ± 0.11,4.44 ± 0.09
PlantPseAAC,PCC_AdaBoostClassifier,Marginal Scores,36.78 ± 0.89,62.89 ± 0.52,,,,,,,,19.55 ± 1.12,,64.89 ± 0.54,,
PlantPseAAC,PCC_AdaBoostClassifier,Predict Fmeasure,,,19.39 ± 0.30,29.28 ± 1.09,54.77 ± 0.75,16.62 ± 0.29,53.24 ± 0.57,19.36 ± 0.28,95.59 ± 0.96,,10.89 ± 0.19,,94.44 ± 0.81,0.00 ± 0.00
PlantPseAAC,PCC_AdaBoostClassifier,Predict Hamming,,,2.30 ± 0.65,90.75 ± 0.10,51.82 ± 0.82,4.67 ± 1.37,46.80 ± 0.35,4.22 ± 1.14,91.17 ± 0.06,,2.44 ± 0.65,,2.25 ± 0.68,1.96 ± 0.61
PlantPseAAC,PCC_AdaBoostClassifier,Predict Informedness,,,21.63 ± 0.25,52.24 ± 0.59,54.72 ± 0.54,16.99 ± 0.75,53.90 ± 0.13,21.58 ± 0.27,94.98 ± 0.11,,12.82 ± 0.16,,73.69 ± 0.37,0.00 ± 0.00
PlantPseAAC,PCC_AdaBoostClassifier,Predict Markedness,,,19.24 ± 0.77,39.19 ± 1.07,53.52 ± 0.42,15.61 ± 0.13,54.56 ± 0.37,18.59 ± 0.28,96.12 ± 0.28,,12.99 ± 0.71,,77.07 ± 1.73,2.78 ± 0.34
PlantPseAAC,PCC_AdaBoostClassifier,Predict NPV,,,17.40 ± 0.07,16.94 ± 0.07,51.38 ± 0.56,15.59 ± 0.12,53.67 ± 0.24,17.48 ± 0.07,97.73 ± 0.43,,9.60 ± 0.04,,97.90 ± 0.42,0.00 ± 0.00
PlantPseAAC,PCC_AdaBoostClassifier,Predict Precision,,,17.93 ± 1.06,85.93 ± 0.19,53.35 ± 0.90,8.53 ± 1.22,55.76 ± 0.61,18.80 ± 1.09,91.97 ± 0.10,,19.55 ± 1.12,,17.14 ± 1.03,14.80 ± 0.96
PlantPseAAC,PCC_AdaBoostClassifier,Predict Recall,,,16.42 ± 0.00,8.99 ± 0.00,50.00 ± 0.00,15.41 ± 0.01,4.49 ± 0.00,16.50 ± 0.00,0.00 ± 0.00,,8.99 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
PlantPseAAC,PCC_AdaBoostClassifier,Predict Subset,,,31.07 ± 0.54,81.10 ± 0.08,52.48 ± 0.35,11.64 ± 0.89,58.67 ± 0.24,30.94 ± 0.50,94.21 ± 0.09,,23.14 ± 0.39,,49.00 ± 0.90,0.71 ± 0.12
PlantPseAAC,PCC_LogisticRegression,Marginal Scores,49.36 ± 0.48,70.59 ± 0.42,,,,,,,,31.66 ± 0.67,,72.13 ± 0.42,,
PlantPseAAC,PCC_LogisticRegression,Predict Fmeasure,,,26.95 ± 0.71,86.47 ± 0.14,57.33 ± 0.32,20.08 ± 0.68,58.79 ± 0.36,30.71 ± 0.57,93.41 ± 0.08,,24.18 ± 0.65,,33.98 ± 0.93,13.19 ± 0.75
PlantPseAAC,PCC_LogisticRegression,Predict Hamming,,,26.73 ± 0.69,87.33 ± 0.11,56.98 ± 0.27,19.56 ± 0.55,59.13 ± 0.31,30.53 ± 0.70,93.26 ± 0.08,,25.00 ± 0.54,,31.60 ± 0.94,16.11 ± 0.55
PlantPseAAC,PCC_LogisticRegression,Predict Informedness,,,31.58 ± 0.64,84.27 ± 0.16,58.72 ± 0.40,21.86 ± 0.63,60.66 ± 0.33,32.27 ± 0.43,93.94 ± 0.05,,27.38 ± 0.62,,42.25 ± 0.61,12.39 ± 0.74
PlantPseAAC,PCC_LogisticRegression,Predict Markedness,,,27.50 ± 0.68,87.97 ± 0.17,56.60 ± 0.60,19.30 ± 0.79,60.04 ± 0.36,30.55 ± 0.63,93.15 ± 0.07,,26.94 ± 0.65,,30.09 ± 0.71,20.45 ± 1.00
PlantPseAAC,PCC_LogisticRegression,Predict NPV,,,16.96 ± 0.05,16.50 ± 0.05,52.77 ± 0.27,16.03 ± 0.05,52.22 ± 0.17,17.05 ± 0.05,95.07 ± 0.32,,9.36 ± 0.03,,95.52 ± 0.31,0.00 ± 0.00
PlantPseAAC,PCC_LogisticRegression,Predict Precision,,,30.53 ± 0.68,87.95 ± 0.11,56.03 ± 0.62,17.82 ± 1.18,62.36 ± 0.37,30.46 ± 0.67,93.07 ± 0.06,,31.66 ± 0.67,,29.98 ± 0.69,28.32 ± 0.72
PlantPseAAC,PCC_LogisticRegression,Predict Recall,,,16.42 ± 0.00,8.99 ± 0.00,50.00 ± 0.00,15.41 ± 0.01,4.49 ± 0.00,16.50 ± 0.00,0.00 ± 0.00,,8.99 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
PlantPseAAC,PCC_LogisticRegression,Predict Subset,,,27.10 ± 0.85,87.27 ± 0.17,56.96 ± 0.29,19.54 ± 0.56,59.34 ± 0.42,30.57 ± 0.92,93.26 ± 0.10,,25.42 ± 0.73,,31.85 ± 1.05,16.52 ± 0.70
PlantPseAAC,PCC_RandomForestClassifier,Marginal Scores,57.39 ± 0.32,80.20 ± 0.26,,,,,,,,37.82 ± 0.93,,81.37 ± 0.26,,
PlantPseAAC,PCC_RandomForestClassifier,Predict Fmeasure,,,19.68 ± 0.42,82.04 ± 0.14,56.53 ± 0.70,19.35 ± 1.40,53.81 ± 0.19,29.49 ± 0.46,94.31 ± 0.10,,13.31 ± 0.29,,42.61 ± 0.95,0.78 ± 0.20
PlantPseAAC,PCC_RandomForestClassifier,Predict Hamming,,,4.49 ± 0.47,91.16 ± 0.06,51.43 ± 0.46,4.23 ± 0.83,47.93 ± 0.25,7.78 ± 0.78,91.36 ± 0.04,,4.50 ± 0.46,,4.48 ± 0.48,4.46 ± 0.49
PlantPseAAC,PCC_RandomForestClassifier,Predict Informedness,,,36.54 ± 0.23,76.16 ± 0.11,58.55 ± 0.56,22.29 ± 0.93,60.85 ± 0.12,36.02 ± 0.19,96.85 ± 0.05,,24.84 ± 0.23,,75.36 ± 0.37,0.74 ± 0.18
PlantPseAAC,PCC_RandomForestClassifier,Predict Markedness,,,28.71 ± 0.82,88.71 ± 0.17,54.92 ± 0.47,16.36 ± 0.78,60.55 ± 0.47,33.40 ± 0.87,93.45 ± 0.08,,27.65 ± 0.87,,32.58 ± 0.86,22.42 ± 0.72
PlantPseAAC,PCC_RandomForestClassifier,Predict NPV,,,17.59 ± 0.03,17.13 ± 0.03,52.81 ± 0.30,15.77 ± 0.03,54.28 ± 0.10,17.67 ± 0.03,98.85 ± 0.18,,9.70 ± 0.02,,99.11 ± 0.22,0.00 ± 0.00
PlantPseAAC,PCC_RandomForestClassifier,Predict Precision,,,36.69 ± 0.90,88.98 ± 0.16,55.00 ± 0.26,15.88 ± 0.57,65.72 ± 0.51,36.39 ± 0.89,93.63 ± 0.08,,37.82 ± 0.93,,36.13 ± 0.89,34.48 ± 0.87
PlantPseAAC,PCC_RandomForestClassifier,Predict Recall,,,16.42 ± 0.00,8.99 ± 0.00,50.00 ± 0.00,15.41 ± 0.01,4.49 ± 0.00,16.50 ± 0.00,0.00 ± 0.00,,8.99 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
PlantPseAAC,PCC_RandomForestClassifier,Predict Subset,,,6.37 ± 0.47,91.16 ± 0.06,51.61 ± 0.47,4.93 ± 0.88,48.94 ± 0.25,10.66 ± 0.67,91.51 ± 0.04,,6.38 ± 0.46,,6.36 ± 0.47,6.34 ± 0.48
